,GroundTruth,GroundTruth_DB,FairDEN_v1_min_pts_11_wo_cat,FairDEN_v2_min_pts_11_wo_cat,FairDEN_v1_min_pts_13_wo_cat,FairDEN_v2_min_pts_13_wo_cat,FairDEN_v1_min_pts_15_wo_cat,FairDEN_v2_min_pts_15_wo_cat,FairDEN_v1_min_pts_10_wo_cat,FairDEN_v2_min_pts_10_wo_cat
61,0,0,0,0,0,1,1,0,1,0
62,0,0,0,0,0,1,1,0,1,0
63,0,0,0,0,0,1,1,0,1,0
64,1,0,0,0,0,1,1,0,1,0
65,0,0,1,1,1,0,0,1,0,1
66,0,0,1,0,1,0,0,1,0,1
67,0,0,1,1,1,0,0,1,0,1
68,1,0,1,1,1,0,0,1,0,1
69,0,0,0,0,0,1,0,1,1,0
70,0,0,0,0,0,1,1,0,1,0
71,1,0,1,1,1,0,0,1,0,1
72,0,0,1,1,1,0,0,1,0,1
73,0,0,1,1,1,0,0,1,0,1
74,0,0,0,0,0,1,1,0,1,0
75,0,0,0,0,0,1,1,0,1,0
76,1,0,0,0,0,1,1,0,1,0
77,0,0,1,1,1,0,0,1,0,1
78,0,0,0,0,0,1,1,0,1,0
79,0,0,0,0,0,1,1,0,1,0
80,1,0,0,0,0,1,1,0,1,0
81,0,0,0,0,0,1,1,0,1,0
82,0,0,0,0,0,1,1,0,1,0
83,0,0,1,1,1,0,0,1,0,1
84,0,0,0,0,0,1,1,0,1,0
85,0,0,0,0,0,1,1,0,1,0
86,0,0,1,1,1,0,0,1,0,1
87,0,0,0,0,0,1,1,0,1,0
88,0,0,0,0,0,1,1,0,1,0
89,0,0,1,1,1,0,0,1,0,1
90,0,0,0,0,1,0,0,1,0,1
91,0,0,0,0,0,1,1,0,1,0
92,0,0,0,0,0,1,1,0,1,0
93,0,0,0,0,0,1,1,0,1,0
94,0,0,1,1,1,0,0,1,0,1
95,0,0,0,0,0,1,1,0,1,0
96,0,0,0,0,0,1,1,0,1,0
97,0,0,1,1,1,0,0,1,0,1
98,0,0,1,1,1,0,0,1,0,1
99,0,0,0,0,0,1,1,0,1,0
100,0,0,0,0,0,1,1,0,1,0
101,0,0,0,0,0,1,1,0,1,0
102,0,0,1,1,1,0,1,0,0,1
103,0,0,1,1,1,0,0,1,0,1
104,0,0,1,1,1,0,0,1,0,1
105,0,0,0,0,0,1,1,0,1,0
106,0,0,0,0,0,1,1,0,1,0
107,0,0,1,1,1,0,0,1,0,1
108,0,0,0,0,0,1,1,0,1,0
109,0,0,0,0,0,1,1,0,1,0
110,0,0,0,0,0,1,1,0,1,0
111,0,0,0,0,0,1,1,0,1,0
112,0,0,0,0,0,1,1,0,1,0
113,0,0,0,0,0,1,1,0,1,0
114,0,0,0,0,0,1,1,0,1,0
115,0,0,0,0,0,1,1,0,1,0
116,0,0,0,0,0,1,1,0,1,0
117,0,0,0,0,0,1,1,0,1,0
118,0,0,0,0,0,1,1,0,1,0
119,0,0,1,1,1,0,0,1,0,1
120,1,0,0,0,0,1,1,0,1,0
121,0,0,0,0,0,1,1,0,1,0
122,0,0,1,1,1,0,0,1,0,1
123,1,0,1,1,1,0,0,1,0,1
124,1,0,0,0,0,1,1,0,1,0
125,0,0,0,0,0,1,1,0,1,0
126,0,0,0,0,0,1,1,0,1,0
127,0,0,0,0,0,1,1,0,1,0
128,1,0,0,0,0,1,1,0,1,0
129,0,-1,1,1,1,0,0,1,0,1
130,0,0,0,0,0,1,1,0,1,0
131,0,0,0,0,0,1,1,0,1,0
132,0,0,1,1,1,0,0,1,0,1
133,0,0,1,1,1,0,0,1,0,1
134,0,0,0,0,0,1,1,0,1,0
135,0,0,0,0,0,1,1,0,1,0
136,1,0,0,0,0,1,1,0,1,0
137,0,0,1,1,1,0,0,1,0,1
138,1,0,1,1,1,0,0,1,0,1
139,0,0,0,0,0,1,1,0,1,0
140,0,0,0,0,0,1,1,0,1,0
141,0,0,0,0,0,1,1,0,1,0
142,0,0,1,1,1,0,0,1,0,1
143,0,0,0,0,0,1,1,0,1,0
144,0,-1,1,1,1,0,0,1,0,1
145,0,0,0,0,0,1,1,0,1,0
146,0,0,1,1,1,0,0,1,0,1
147,0,0,0,0,0,1,1,0,1,0
148,0,0,1,1,1,0,0,1,0,1
149,0,0,0,0,0,1,1,0,1,0
150,0,0,1,1,1,0,0,1,0,1
151,0,0,0,0,0,1,1,0,1,0
152,1,0,0,0,0,1,1,0,1,0
153,0,0,0,0,0,1,1,0,1,0
154,0,0,1,1,1,0,0,1,0,1
155,0,0,0,0,0,1,1,0,1,0
156,1,0,0,0,0,1,1,0,1,0
157,0,0,0,0,0,1,1,0,1,0
158,1,0,0,0,0,1,1,0,1,0
159,1,0,0,0,0,1,1,0,1,0
160,0,0,0,0,0,1,1,0,1,0
161,0,0,0,0,0,1,1,0,1,0
162,0,0,0,0,0,1,1,0,1,0
163,0,0,0,0,0,1,1,0,1,0
164,0,0,1,1,1,0,0,1,0,1
165,0,0,1,1,1,0,0,1,0,1
166,1,0,0,0,0,1,1,0,1,0
167,0,0,0,0,0,1,1,0,1,0
168,0,0,0,0,0,1,1,0,1,0
169,0,0,0,0,0,1,1,0,1,0
170,0,0,0,0,0,1,1,0,1,0
171,0,0,0,0,0,1,1,0,1,0
172,1,0,1,0,0,1,1,0,0,1
173,0,0,0,0,0,1,1,0,1,0
174,0,0,0,0,0,1,1,0,1,0
175,0,0,1,1,1,0,0,1,0,1
176,0,0,0,0,0,1,1,0,1,0
177,0,0,1,1,1,0,0,1,0,1
178,0,0,0,0,0,1,1,0,1,0
179,0,0,0,0,0,1,1,0,1,0
180,0,0,1,1,1,0,0,1,0,1
181,0,0,0,0,0,1,1,0,1,0
182,0,0,0,0,0,1,1,0,1,0
183,0,0,0,0,1,1,0,1,1,0
184,1,0,1,1,1,0,0,1,0,1
185,0,0,0,0,0,1,1,0,1,0
186,0,0,1,1,1,0,0,1,0,1
187,0,0,0,0,0,1,1,0,1,0
188,1,0,0,0,0,1,1,0,1,0
189,0,0,0,0,0,1,1,0,1,0
190,0,0,0,0,0,1,1,0,1,0
191,0,0,1,1,1,0,0,1,0,1
192,0,0,1,1,1,0,0,1,0,1
193,0,0,0,0,0,1,1,0,1,0
194,0,0,0,0,0,1,1,0,1,0
195,0,0,0,0,0,1,1,0,1,0
196,0,0,1,1,1,0,1,1,0,1
197,0,0,1,1,1,0,0,1,0,1
198,0,0,0,0,0,1,1,0,1,0
199,0,0,0,0,0,1,1,0,1,0
200,1,0,1,1,1,0,0,1,0,1
201,0,0,0,0,0,1,1,0,1,0
202,0,0,1,0,0,1,1,0,0,1
203,1,0,0,0,0,1,1,0,1,0
204,0,0,0,0,0,1,1,0,1,0
205,0,0,0,0,0,1,1,0,1,0
206,0,0,0,0,0,1,1,0,1,0
207,0,0,0,0,0,1,1,0,1,0
208,1,0,0,0,0,1,1,0,1,0
209,1,0,1,1,1,0,0,1,0,1
210,1,0,1,1,1,0,0,1,0,1
211,0,0,0,0,0,1,1,0,1,0
212,1,0,0,0,0,1,1,0,1,0
213,0,0,0,0,0,1,1,0,1,0
214,0,0,0,0,0,1,1,0,1,0
215,0,0,0,0,0,1,1,0,1,0
216,0,0,0,0,0,1,1,0,1,0
217,0,0,0,0,0,1,1,0,1,0
218,0,0,0,0,0,1,1,0,1,0
219,0,0,1,1,1,0,0,1,0,1
220,1,0,0,0,0,1,1,0,1,0
221,0,0,0,0,0,1,1,0,1,0
222,1,0,0,0,0,1,1,0,1,0
223,0,0,0,0,0,1,1,0,1,0
224,0,0,0,0,0,1,1,0,1,0
225,1,0,1,1,1,0,0,1,0,1
226,0,0,0,0,0,1,1,0,1,0
227,1,0,0,0,0,1,1,0,1,0
228,0,0,1,1,1,0,0,1,0,1
229,0,0,0,0,0,1,1,0,1,0
230,0,0,0,0,0,1,1,0,1,0
231,1,0,1,1,1,0,0,1,0,1
232,1,-1,1,1,1,0,0,1,0,1
233,0,0,0,0,0,1,1,0,1,0
234,0,0,0,0,0,1,1,0,1,0
235,0,0,0,0,0,1,1,0,1,0
236,0,0,0,0,0,1,1,0,1,0
237,0,0,1,1,1,0,0,1,0,1
238,1,-1,1,1,1,0,0,1,0,1
239,0,0,1,1,1,0,0,1,0,1
240,0,-1,1,1,1,0,0,1,0,1
241,0,0,1,1,1,0,0,1,0,1
242,0,0,1,1,1,0,0,1,0,1
243,0,0,0,0,0,1,1,0,1,0
244,0,0,1,1,1,0,0,1,0,1
245,0,0,0,0,0,1,1,0,1,0
246,0,0,0,0,0,1,1,0,1,0
247,0,0,0,0,0,1,1,0,1,0
248,0,0,0,0,0,1,1,0,1,0
249,0,0,1,1,1,0,0,1,0,1
250,0,0,0,0,0,1,1,0,1,0
251,1,0,1,1,1,0,0,1,0,1
252,0,0,1,1,1,0,0,1,0,1
253,1,-1,1,1,1,0,0,1,0,1
254,1,0,1,1,1,0,0,1,0,1
255,0,0,0,0,0,1,1,0,1,0
256,0,0,0,0,1,0,0,1,1,0
257,0,0,0,0,0,1,1,0,1,0
258,0,0,0,0,0,1,1,0,1,0
259,0,0,0,0,0,1,1,0,1,0
260,1,0,1,1,1,0,0,1,0,1
261,0,0,0,0,0,1,1,0,1,0
262,0,0,1,1,1,0,0,1,0,1
263,0,0,1,1,1,0,0,1,0,1
264,1,0,0,0,0,1,1,0,1,0
265,0,-1,1,1,1,0,0,1,0,1
266,0,0,0,0,0,1,1,0,1,0
267,1,0,0,0,0,1,1,0,1,0
268,0,0,1,1,1,0,0,1,0,1
269,0,0,0,0,0,1,1,0,1,0
270,1,0,0,0,0,1,1,0,1,0
271,0,0,0,0,0,1,1,0,1,0
272,0,0,0,0,0,1,1,0,1,0
273,0,0,0,0,0,1,1,0,1,0
274,0,0,0,0,0,1,1,0,1,0
275,1,0,0,0,0,1,1,0,1,0
276,0,0,1,1,1,0,0,1,0,1
277,0,0,1,1,1,0,0,1,0,1
278,0,0,1,1,1,0,0,1,0,1
279,0,0,0,0,0,1,1,0,1,0
280,0,0,0,0,0,1,1,0,1,0
281,0,0,0,0,0,1,1,0,1,0
282,0,0,1,1,1,0,0,1,0,1
283,0,0,0,0,0,1,1,0,1,0
284,0,0,0,0,0,1,1,0,1,0
285,0,0,0,0,0,1,1,0,1,0
286,0,0,0,0,0,1,1,0,1,0
287,0,-1,1,1,1,0,0,1,0,1
288,0,0,1,1,1,0,0,1,0,1
289,0,0,0,0,0,1,1,0,1,0
290,1,0,0,0,1,0,0,1,1,0
291,1,0,1,1,1,0,0,1,0,1
292,0,0,0,0,0,1,1,0,1,0
293,0,0,1,1,1,0,0,1,0,1
294,0,0,1,1,1,0,0,1,0,1
295,0,0,0,0,0,1,1,0,1,0
296,0,0,1,1,1,0,0,1,0,1
297,1,0,0,0,0,1,1,0,1,0
298,0,0,1,1,1,0,0,1,0,1
299,0,0,0,0,0,1,1,0,1,0
300,0,0,1,1,1,0,0,1,0,1
301,0,0,1,1,1,0,0,1,0,1
302,0,0,1,1,1,0,0,1,0,1
303,0,0,0,0,0,1,1,0,1,0
304,0,0,0,0,0,1,1,0,1,0
305,1,0,1,1,1,0,0,1,0,1
306,1,0,1,1,1,0,0,1,0,1
307,0,0,0,0,0,1,1,0,1,0
308,0,0,0,0,0,1,1,0,1,0
309,0,0,1,1,1,0,0,1,0,1
310,0,0,1,1,0,1,1,0,0,1
311,0,0,0,0,0,1,1,0,1,0
312,1,0,1,0,0,1,1,0,0,1
313,1,-1,1,1,1,0,0,1,0,1
314,0,0,0,0,0,1,1,0,1,0
315,0,0,1,0,1,0,1,0,0,1
316,1,0,1,1,1,0,0,1,0,1
317,0,0,0,0,0,1,1,0,1,0
318,0,0,0,0,0,1,1,0,1,0
319,0,0,0,0,0,1,1,0,1,0
320,0,0,1,1,1,0,0,1,0,1
321,0,0,1,1,1,0,0,1,0,1
322,0,0,0,0,0,1,1,0,1,0
323,0,0,1,1,1,0,0,1,0,1
324,0,0,0,0,0,1,1,0,1,0
325,0,0,0,0,0,1,1,0,1,0
326,0,0,0,0,0,1,1,0,1,0
327,0,0,0,0,0,1,1,0,1,0
328,0,0,1,1,0,1,1,0,0,1
329,0,0,0,0,0,1,1,0,1,0
330,0,0,1,1,1,0,0,1,0,1
331,1,0,1,1,1,0,0,1,0,1
332,1,0,0,0,0,1,1,0,1,0
333,1,0,0,0,0,1,1,0,1,0
334,0,0,0,0,0,1,1,0,1,0
335,0,0,0,0,0,1,1,0,1,0
336,0,0,0,0,0,1,1,0,1,0
337,0,0,1,1,1,0,0,1,0,1
338,0,0,1,1,1,0,0,1,0,1
339,0,0,1,1,1,0,0,1,0,1
340,0,0,1,1,1,0,0,1,0,1
341,0,0,0,0,0,1,1,0,1,0
342,0,0,1,1,0,1,1,0,0,1
343,0,0,0,0,0,1,1,0,1,0
344,0,0,0,0,0,1,1,0,1,0
345,0,0,0,0,0,1,1,0,1,0
346,0,0,0,0,0,1,1,0,1,0
347,0,0,0,0,0,1,1,0,1,0
348,0,0,1,1,1,0,0,1,0,1
349,1,0,1,1,1,0,0,1,0,1
350,0,0,0,0,0,1,1,0,1,0
351,0,0,0,0,0,1,1,0,1,0
352,0,0,1,1,1,0,0,1,0,1
353,0,0,1,1,0,1,1,0,0,1
354,0,0,0,0,0,1,1,0,1,0
355,0,0,1,1,1,0,0,1,0,1
356,0,0,1,1,1,0,0,1,0,1
357,0,0,0,0,0,1,1,0,1,0
358,0,0,0,0,0,1,1,0,1,0
359,0,0,1,1,1,0,0,1,0,1
360,0,0,1,1,1,0,0,1,0,1
361,1,0,0,0,0,1,1,0,1,0
362,0,0,0,0,0,1,1,0,1,0
363,1,0,1,1,1,0,0,1,0,1
364,1,0,0,0,0,1,1,0,1,0
365,1,0,1,1,1,0,0,1,0,1
366,1,0,0,0,0,1,1,0,1,0
367,1,0,1,1,1,0,0,1,0,1
368,0,0,0,0,0,1,1,0,1,0
369,0,0,1,1,1,0,0,1,0,1
370,1,0,1,1,1,0,0,1,0,1
371,0,0,0,0,0,1,1,0,1,0
372,0,0,1,1,1,0,0,1,0,1
373,0,0,1,1,1,0,0,1,0,1
374,0,0,0,0,0,1,1,0,1,0
375,0,0,1,1,1,0,0,1,0,1
376,0,0,0,0,0,1,1,0,1,0
377,0,0,0,0,0,1,1,0,1,0
378,0,0,0,0,0,1,1,0,1,0
379,0,0,0,0,0,1,1,0,1,0
380,0,0,0,0,0,1,1,0,1,0
381,0,0,0,0,0,1,1,0,1,0
382,0,0,0,0,0,1,1,0,1,0
383,0,0,0,0,0,1,1,0,1,0
384,0,0,0,0,0,1,1,0,1,0
385,0,0,0,0,0,1,1,0,1,0
386,0,0,1,1,1,0,0,1,0,1
387,0,0,0,0,0,1,1,0,1,0
388,1,0,1,1,1,0,0,1,0,1
389,1,0,0,0,0,1,1,0,1,0
390,0,-1,1,1,1,0,0,1,0,1
391,0,0,0,0,0,1,1,0,1,0
392,1,0,1,0,1,0,0,1,0,1
393,0,0,0,0,0,1,1,0,1,0
394,1,0,0,0,0,1,1,0,1,0
395,0,0,0,0,0,1,1,0,1,0
396,0,0,1,1,1,0,0,1,0,1
397,0,0,0,0,0,1,1,0,1,0
398,0,0,0,0,0,1,1,0,1,0
399,0,0,0,0,0,1,1,0,1,0
400,1,0,1,1,1,0,0,1,0,1
401,1,0,1,1,1,0,0,1,0,1
402,0,0,0,0,0,1,1,0,1,0
403,0,0,0,0,0,1,1,0,1,0
404,0,0,0,0,0,1,1,0,1,0
405,1,0,1,1,1,0,0,1,0,1
406,0,0,0,0,0,1,1,0,1,0
407,1,0,1,1,1,0,0,1,0,1
408,1,0,1,1,1,0,0,1,0,1
409,0,0,0,0,0,1,1,0,1,0
410,0,0,0,0,0,1,1,0,1,0
411,0,0,0,0,0,1,1,0,1,0
412,1,0,1,1,1,0,0,1,0,1
413,0,0,0,0,0,1,1,0,1,0
414,0,0,1,1,1,0,0,1,0,1
415,0,0,0,0,0,1,1,0,1,0
416,1,-1,1,1,1,0,0,1,0,1
417,0,0,0,0,0,1,1,0,1,0
418,1,0,0,0,0,1,1,0,1,0
419,1,0,0,0,0,1,1,0,1,0
420,0,0,0,0,0,1,1,0,1,0
421,0,0,1,1,1,0,0,1,0,1
422,0,0,1,1,1,0,0,1,0,1
423,0,0,0,0,0,1,1,0,1,0
424,0,0,1,1,1,0,0,1,0,1
425,0,0,1,1,1,0,0,1,0,1
426,0,0,0,0,0,1,1,0,1,0
427,1,0,0,0,0,1,1,0,1,0
428,1,0,1,1,1,0,0,1,0,1
429,1,0,0,0,0,1,1,0,1,0
430,0,0,0,0,0,1,1,0,1,0
431,1,0,0,0,0,1,1,0,1,0
432,1,0,1,1,1,0,0,1,0,1
433,1,-1,1,1,1,0,0,1,0,1
434,1,0,1,1,1,0,0,1,0,1
435,1,0,1,1,1,0,0,1,0,1
436,0,0,0,0,0,1,1,0,1,0
437,0,0,0,0,0,1,1,0,1,0
438,0,0,0,0,0,1,1,0,1,0
439,0,0,0,0,1,0,0,1,1,0
440,0,0,0,0,0,1,1,0,1,0
441,0,0,0,0,0,1,1,0,1,0
442,0,0,1,1,1,0,0,1,0,1
443,0,0,1,1,1,0,0,1,0,1
444,1,-1,1,1,1,0,0,1,0,1
445,1,0,1,1,1,0,0,1,0,1
446,0,0,0,0,0,1,1,0,1,0
447,1,0,1,1,1,0,0,1,0,1
448,0,0,1,1,1,0,0,1,0,1
449,1,0,0,0,0,1,1,0,1,0
450,0,0,0,0,0,1,1,0,1,0
451,1,0,1,1,1,0,0,1,0,1
452,0,0,0,0,0,1,1,0,1,0
453,1,0,1,1,1,0,0,1,0,1
454,0,0,0,0,0,1,1,0,1,0
455,0,0,0,0,0,1,1,0,1,0
456,0,0,0,0,0,1,1,0,1,0
457,0,0,1,1,1,0,0,1,0,1
458,0,0,1,1,0,1,1,1,1,1
459,0,0,0,0,0,1,1,0,1,0
460,0,0,0,0,0,1,1,0,1,0
461,1,0,1,0,0,1,1,0,1,0
462,0,0,0,0,0,1,1,0,1,0
463,0,0,1,1,1,0,0,1,0,1
464,0,0,0,0,0,1,1,0,1,0
465,0,0,0,0,0,1,1,0,1,0
466,0,0,0,0,0,1,1,0,1,0
467,0,0,0,0,0,1,1,0,1,0
468,0,0,0,0,0,1,1,0,1,0
469,0,0,0,0,0,1,1,0,1,0
470,0,0,0,0,0,1,1,0,1,0
471,0,0,0,0,0,1,1,0,1,0
472,0,0,0,0,0,1,1,0,1,0
473,0,0,1,1,1,0,0,1,0,1
474,0,0,0,0,0,1,1,0,1,0
475,0,0,0,0,0,1,1,0,1,0
476,1,0,0,0,0,1,1,0,1,0
477,0,0,0,0,0,1,1,0,1,0
478,1,0,0,0,0,1,1,0,1,0
479,0,0,0,0,0,1,1,0,1,0
480,0,1,1,1,1,0,0,1,0,1
481,0,0,1,1,1,0,0,1,0,1
482,0,0,1,1,1,0,0,1,0,1
483,0,0,1,1,1,0,0,1,0,1
484,0,0,0,0,0,1,1,0,1,0
485,0,0,1,1,1,0,0,1,0,1
486,0,0,1,1,1,0,0,1,0,1
487,1,-1,1,1,1,0,0,1,0,1
488,0,0,0,0,0,1,1,0,1,0
489,0,0,0,0,0,1,1,0,1,0
490,1,0,0,0,0,1,1,0,1,0
491,0,0,0,0,0,1,1,0,1,0
492,0,0,0,0,0,1,1,0,1,0
493,0,0,1,1,1,0,0,1,0,1
494,0,0,1,1,1,0,0,1,0,1
495,0,0,0,0,0,1,1,0,1,0
496,0,0,1,1,1,0,1,0,0,1
497,1,0,0,0,0,1,1,0,1,0
498,0,0,0,0,0,1,1,0,1,0
499,0,0,0,0,0,1,1,0,1,0
500,0,0,0,0,0,1,1,0,1,0
501,1,0,1,1,1,0,0,1,0,1
502,0,0,0,0,0,1,1,0,1,0
503,0,0,0,0,0,1,1,0,1,0
504,0,0,0,0,0,1,1,0,1,0
505,0,0,1,1,1,0,0,1,0,1
506,0,0,0,0,0,1,1,0,1,0
507,1,0,0,0,0,1,1,0,1,0
508,1,0,1,1,1,0,0,1,0,1
509,0,0,0,0,0,1,1,0,1,0
510,0,0,0,0,0,1,1,0,1,0
511,0,0,0,0,0,1,1,0,1,0
512,0,0,0,0,0,1,1,0,1,0
513,0,0,1,0,0,1,1,0,0,1
514,1,0,0,0,0,1,1,0,1,0
515,0,0,0,0,0,1,1,0,1,0
516,0,0,0,0,0,1,1,0,1,0
517,0,0,0,0,0,1,1,0,1,0
518,0,0,0,0,0,1,1,0,1,0
519,0,0,1,1,1,0,0,1,0,1
520,0,0,0,0,0,1,1,0,1,0
521,0,0,0,0,1,0,1,0,1,0
522,0,0,0,0,0,1,1,0,1,0
523,0,0,1,1,1,0,0,1,0,1
524,0,0,0,0,0,1,1,0,1,0
525,0,0,1,1,1,0,0,1,0,1
526,0,0,1,0,0,1,1,0,0,1
527,0,0,0,0,0,1,1,0,1,0
528,0,0,0,0,0,1,1,0,1,0
529,0,0,0,0,0,1,1,0,1,0
530,1,0,0,0,0,1,1,0,1,0
531,0,0,0,0,0,1,1,0,1,0
532,1,0,0,0,0,1,1,0,1,0
533,0,0,0,0,0,1,1,0,1,0
534,0,0,0,0,0,1,1,0,1,0
535,0,0,0,0,0,1,1,0,1,0
536,0,0,0,0,0,1,1,0,1,0
537,0,0,1,1,1,0,0,1,0,1
538,0,0,0,0,0,1,1,0,1,0
539,0,0,0,0,0,1,1,0,1,0
540,0,0,0,0,0,1,1,0,1,0
541,1,0,0,0,0,1,1,0,1,0
542,0,0,1,1,1,0,0,1,1,0
543,0,0,0,0,0,1,1,0,1,0
544,0,0,0,0,0,1,1,0,1,0
545,0,0,0,0,0,1,1,0,1,0
546,0,0,0,0,0,1,1,0,1,0
547,1,0,1,1,1,0,0,1,0,1
548,0,0,0,0,0,1,1,0,1,0
549,0,0,0,0,0,1,1,0,1,0
550,0,0,0,0,0,1,1,0,1,0
551,1,0,1,1,1,0,0,1,0,1
552,0,0,0,0,0,1,1,0,1,0
553,0,0,0,0,0,1,1,0,1,0
554,1,0,0,0,0,1,1,0,1,0
555,0,0,1,1,1,0,0,1,0,1
556,0,0,0,0,0,1,1,0,1,0
557,0,0,0,0,0,1,1,0,1,0
558,0,0,1,1,1,0,0,1,0,1
559,0,0,0,0,0,1,1,0,1,0
560,0,0,0,0,0,1,1,0,1,0
561,0,0,0,0,0,1,1,0,1,0
562,0,0,1,1,1,0,0,1,0,1
563,0,0,1,1,1,0,0,1,0,1
564,0,0,0,0,0,1,1,0,1,0
565,0,0,0,0,0,1,1,0,1,0
566,0,0,0,0,0,1,1,0,1,0
567,0,0,0,0,0,1,1,0,1,0
568,0,0,1,1,1,0,0,1,0,1
569,0,0,0,0,0,1,1,0,1,0
570,0,0,0,0,0,1,1,0,1,0
571,0,0,0,0,0,1,1,0,1,0
572,0,0,1,1,1,0,0,1,0,1
573,1,0,0,0,0,1,1,0,1,0
574,1,0,0,0,0,1,1,0,1,0
575,0,0,0,0,0,1,1,0,1,0
576,0,0,0,0,0,1,1,0,1,0
577,0,0,0,0,0,1,1,0,1,0
578,0,0,0,0,0,1,1,0,1,0
579,0,0,0,0,0,1,1,0,1,0
580,0,0,0,0,0,1,1,0,1,0
581,0,0,0,0,0,1,1,0,1,0
582,1,-1,1,1,1,0,0,1,0,1
583,0,0,1,1,1,0,0,1,0,1
584,0,0,0,0,1,0,0,1,1,0
585,0,0,0,0,0,1,1,0,1,0
586,0,0,0,0,0,1,1,0,1,0
587,0,0,0,0,0,1,1,0,1,0
588,1,0,1,1,1,0,0,1,0,1
589,0,0,1,1,1,0,0,1,0,1
590,0,0,0,0,0,1,1,0,1,0
591,0,0,0,0,0,1,1,0,1,0
592,1,0,1,1,1,0,0,1,0,1
593,1,0,0,0,0,1,1,0,1,0
594,0,0,0,0,0,1,1,0,1,0
595,0,0,1,1,1,0,0,1,0,1
596,0,0,0,0,0,1,1,0,1,0
597,0,0,1,1,1,0,0,1,0,1
598,1,0,0,0,0,1,1,0,1,0
599,1,-1,1,1,1,0,0,1,0,1
600,0,0,0,0,0,1,1,0,1,0
601,0,0,0,0,0,1,1,0,1,0
602,0,0,0,0,0,1,1,0,1,0
603,0,0,0,0,0,1,1,0,1,0
604,1,0,0,0,0,1,1,0,1,0
605,1,0,0,0,0,1,1,0,1,0
606,0,0,0,0,0,1,1,0,1,0
607,0,0,0,0,0,1,1,0,1,0
608,1,0,1,1,1,0,0,1,0,1
609,0,0,0,0,0,1,1,0,1,0
610,0,0,1,1,1,0,0,1,0,1
611,1,0,0,0,0,1,1,0,1,0
612,0,0,0,0,0,1,1,0,1,0
613,0,0,1,1,1,0,0,1,0,1
614,0,0,0,0,0,1,1,0,1,0
615,1,0,0,0,0,1,1,0,1,0
616,1,0,1,1,1,0,0,1,0,1
