,GroundTruth,GroundTruth_DB,FairDEN_v1_min_pts_27_wo_cat,FairDEN_v2_min_pts_27_wo_cat
0,0,0,0,0
1,0,0,0,0
2,1,0,1,1
3,1,0,0,0
4,1,0,4,3
5,1,0,1,1
6,1,-1,3,2
7,1,0,0,0
8,1,0,0,0
9,1,0,1,1
10,1,0,0,0
11,1,0,4,3
12,1,0,4,3
13,0,0,1,1
14,1,0,1,1
15,1,0,0,0
16,0,0,0,0
17,1,-1,2,4
18,1,0,0,0
19,1,0,0,0
20,1,0,4,3
21,0,0,0,0
22,0,0,0,0
23,0,0,1,1
24,1,0,1,1
25,1,0,0,0
26,0,0,0,0
27,1,0,0,0
28,1,0,4,3
29,1,0,0,0
30,1,-1,4,3
31,0,0,0,0
32,1,0,1,1
33,1,-1,3,2
34,1,0,4,3
35,1,0,1,1
36,1,0,1,1
37,1,0,4,3
38,0,0,0,0
39,1,0,1,1
40,1,-1,2,4
41,1,0,0,0
42,1,0,0,0
43,1,0,1,1
44,1,0,0,0
45,0,0,0,0
46,0,0,1,1
47,1,0,4,3
48,1,0,0,0
49,0,0,0,0
50,1,0,1,1
51,1,0,1,1
52,1,0,1,1
53,1,0,1,1
54,1,0,1,1
55,1,0,1,1
56,1,0,1,1
57,1,0,0,0
58,1,-1,4,3
59,0,0,1,1
60,1,0,1,1
61,0,0,0,0
62,0,0,1,1
63,1,0,0,0
64,0,-1,4,3
65,0,0,0,0
66,1,0,0,0
67,1,0,4,3
68,1,0,0,0
69,0,0,1,1
70,1,0,1,1
71,1,0,0,0
72,1,-1,3,2
73,1,0,0,0
74,1,0,0,0
75,1,0,0,0
76,0,0,0,0
77,0,0,0,0
78,1,-1,4,3
79,1,-1,3,2
80,0,0,0,0
81,1,0,4,3
82,1,0,1,1
83,1,-1,3,2
84,0,0,0,0
85,1,0,0,0
86,1,-1,4,3
87,1,0,0,0
88,0,0,1,1
89,1,0,0,0
90,1,0,1,1
91,1,0,1,1
92,1,0,0,0
93,1,0,1,1
94,1,-1,3,2
95,1,0,1,1
96,1,0,0,0
97,0,0,0,0
98,1,0,1,1
99,1,0,4,3
100,1,-1,3,2
101,0,0,0,0
102,1,0,0,0
103,1,0,1,1
104,1,0,0,0
105,1,0,1,1
106,1,-1,2,4
107,1,0,0,0
108,1,0,4,3
109,1,0,0,0
110,1,0,4,3
111,1,0,1,1
112,1,0,0,0
113,0,0,0,0
114,1,0,0,0
115,0,0,0,0
116,1,0,1,1
117,1,0,4,3
118,0,0,0,0
119,0,0,0,0
120,1,0,0,0
121,0,0,4,3
122,1,0,0,0
123,1,0,0,0
124,1,0,1,1
125,0,0,1,1
126,0,0,0,0
127,1,0,1,1
128,1,0,1,1
129,1,0,0,0
130,1,0,4,3
131,1,0,4,3
132,1,0,0,0
133,1,0,1,1
134,1,0,1,1
135,1,0,0,0
136,0,0,0,0
137,1,0,0,0
138,0,0,0,0
139,1,0,0,0
140,1,0,1,1
141,1,0,1,1
142,1,0,1,1
143,1,0,0,0
144,0,0,1,1
145,1,-1,3,2
146,1,0,0,0
147,1,0,4,3
148,1,0,1,1
149,1,0,4,3
150,1,0,0,0
151,1,-1,3,2
152,1,0,0,0
153,1,0,1,1
154,1,0,1,1
155,1,0,1,1
156,0,0,4,3
157,1,0,0,0
158,1,0,0,0
159,1,0,0,0
160,1,0,0,0
161,1,0,1,1
162,1,0,0,0
163,1,0,1,1
164,1,0,4,3
165,1,0,4,3
166,1,0,1,1
167,1,0,0,0
168,1,0,1,1
169,1,0,0,0
170,1,0,1,1
171,0,0,0,0
172,1,0,0,0
173,0,0,1,1
174,1,0,0,0
175,1,0,0,0
176,1,0,0,0
177,1,0,1,1
178,1,-1,4,3
179,1,0,1,1
180,1,-1,3,2
181,0,0,0,0
182,1,0,0,0
183,0,0,0,0
184,1,-1,3,2
185,0,0,4,3
186,1,0,1,1
187,1,0,0,0
188,1,0,1,1
189,0,0,0,0
190,1,0,1,1
191,1,0,4,3
192,1,0,4,3
193,0,0,0,0
194,1,0,0,0
195,1,0,1,1
196,1,0,1,1
197,0,0,0,0
198,1,0,0,0
199,1,0,4,3
200,1,0,1,1
201,1,0,1,1
202,1,0,4,3
203,1,0,4,3
204,1,0,0,0
205,0,0,0,0
206,0,0,0,0
207,1,0,1,1
208,1,-1,3,2
209,0,0,1,1
210,1,0,0,0
211,1,0,0,0
212,1,-1,3,2
213,1,0,0,0
214,0,0,0,0
215,1,0,1,1
216,1,0,0,0
217,0,0,4,3
218,1,1,4,3
219,1,-1,4,3
220,1,0,4,3
221,0,0,4,3
222,1,0,4,3
223,1,0,0,0
224,1,0,0,0
225,0,0,0,0
226,1,0,0,0
227,1,0,0,0
228,0,0,1,1
229,1,0,4,3
230,0,0,1,1
231,1,0,0,0
232,1,0,1,1
233,1,0,1,1
234,1,0,1,1
235,0,0,4,3
236,0,0,1,1
237,1,0,0,0
238,1,0,0,0
239,1,0,0,0
240,1,0,0,0
241,1,0,0,0
242,1,0,1,1
243,1,0,4,3
244,1,0,0,0
245,1,0,1,1
246,1,0,0,0
247,1,0,0,0
248,1,0,1,1
249,0,0,1,1
250,1,-1,3,2
251,1,0,1,1
252,1,0,0,0
253,1,0,4,3
254,1,0,4,3
255,1,0,1,1
256,0,0,4,3
257,1,-1,3,2
258,1,0,1,1
259,1,0,1,1
260,1,0,4,3
261,1,0,1,1
262,1,0,0,0
263,1,0,0,0
264,0,0,1,1
265,1,0,0,0
266,0,0,0,0
267,1,0,1,1
268,1,0,0,0
269,0,0,1,1
270,1,0,1,1
271,0,0,0,0
272,1,0,1,1
273,0,0,4,3
274,1,0,0,0
275,1,0,0,0
276,1,0,1,1
277,1,0,0,0
278,1,-1,3,2
279,1,0,1,1
280,1,0,0,0
281,1,0,4,3
282,1,-1,3,2
283,1,0,1,1
284,1,0,4,3
285,0,0,1,1
286,1,0,0,0
287,0,-1,2,4
288,0,0,0,0
289,1,0,0,0
290,0,0,0,0
291,1,0,0,0
292,1,0,1,1
293,1,0,0,0
294,1,0,1,1
295,1,0,1,1
296,0,0,1,1
297,1,0,1,1
298,1,-1,3,2
299,1,0,1,1
300,0,0,0,0
301,1,0,0,0
302,1,0,0,0
303,1,0,4,3
304,1,0,0,0
305,0,0,0,0
306,1,0,4,1
307,1,0,1,1
308,1,0,1,1
309,1,0,0,0
310,0,0,1,1
311,1,0,1,1
312,0,0,0,0
313,1,0,0,0
314,1,0,0,0
315,1,0,0,0
316,1,0,0,0
317,0,0,0,0
318,1,-1,3,2
319,1,0,0,0
320,0,0,1,1
321,1,0,4,3
322,1,0,4,3
323,0,0,0,0
324,0,0,0,0
325,1,-1,3,2
326,1,0,1,1
327,0,0,4,3
328,0,0,1,1
329,1,0,1,1
330,1,-1,4,3
331,1,0,0,0
332,1,0,1,1
333,1,0,1,1
334,1,0,0,0
335,0,0,0,0
336,1,0,1,1
337,1,0,0,0
338,1,0,0,0
339,1,0,1,1
340,1,-1,2,4
341,1,0,1,1
342,1,0,1,1
343,1,0,0,0
344,0,0,0,0
345,1,0,1,1
346,0,0,0,0
347,1,0,1,1
348,1,-1,3,2
349,0,0,0,0
350,1,0,1,1
351,1,0,0,0
352,0,0,1,1
353,1,0,1,1
354,1,0,4,3
355,1,0,0,0
356,1,-1,3,2
357,0,-1,3,2
358,1,0,1,1
359,1,0,1,1
360,0,0,0,0
361,1,0,0,0
362,1,0,1,1
363,1,0,1,1
364,1,0,0,0
365,1,0,0,0
366,0,0,0,0
367,0,0,1,1
368,1,-1,4,3
369,1,0,1,1
370,1,0,0,0
371,1,-1,3,2
372,1,0,0,0
373,1,0,0,0
374,1,0,1,1
375,1,0,1,1
376,0,0,1,1
377,1,0,1,1
378,0,0,0,0
379,1,0,4,3
380,0,0,0,0
381,1,0,1,1
382,1,-1,4,3
383,0,0,4,3
384,1,0,1,1
385,0,-1,3,2
386,1,0,0,0
387,0,-1,4,3
388,1,0,1,1
389,1,0,1,1
390,1,0,4,3
391,1,0,1,1
392,1,0,1,1
393,1,0,0,0
394,1,0,1,1
395,1,0,1,1
396,1,-1,3,2
397,1,0,0,0
398,0,0,0,0
399,1,0,0,0
400,0,0,1,1
401,1,-1,3,2
402,1,0,1,1
403,1,-1,3,2
404,1,0,4,3
405,1,0,1,1
406,0,0,0,0
407,1,0,0,0
408,1,0,0,0
409,0,0,1,1
410,1,-1,3,2
411,1,0,1,1
412,1,0,1,1
413,1,0,0,0
414,1,0,0,0
415,0,0,0,0
416,1,0,0,0
