,GroundTruth,GroundTruth_DB,FairDEN_v1_min_pts_27_wo_cat,FairDEN_v2_min_pts_27_wo_cat
0,0,0,0,0
1,0,0,0,0
2,1,0,4,1
3,1,0,0,0
4,1,0,1,3
5,1,0,4,1
6,1,-1,2,4
7,1,0,0,0
8,1,0,0,0
9,1,0,4,1
10,1,0,0,0
11,1,0,1,3
12,1,0,1,3
13,0,0,4,1
14,1,0,4,1
15,1,0,0,0
16,0,0,0,0
17,1,-1,3,2
18,1,0,0,0
19,1,0,0,0
20,1,0,1,3
21,0,0,0,0
22,0,0,0,0
23,0,0,1,1
24,1,0,4,1
25,1,0,0,0
26,0,0,0,0
27,1,0,0,0
28,1,0,1,3
29,1,0,0,0
30,1,-1,1,3
31,0,0,0,0
32,1,0,4,1
33,1,-1,2,4
34,1,0,1,3
35,1,0,4,1
36,1,0,4,1
37,1,0,1,3
38,0,0,0,0
39,1,0,4,1
40,1,-1,3,2
41,1,0,0,0
42,1,0,0,0
43,1,0,4,1
44,1,0,0,0
45,0,0,0,0
46,0,0,4,1
47,0,0,0,0
48,1,0,1,3
49,1,0,0,0
50,0,0,0,0
51,1,0,4,1
52,1,0,4,1
53,1,0,4,1
54,1,0,4,1
55,1,0,4,1
56,1,0,4,1
57,1,0,4,1
58,1,0,0,0
59,1,-1,1,3
60,0,0,4,1
61,1,0,4,1
62,0,0,0,0
63,0,0,4,1
64,1,0,0,0
65,0,-1,1,3
66,0,0,0,0
67,1,0,0,0
68,1,0,1,3
69,1,0,0,0
70,1,0,0,0
71,0,0,4,1
72,1,0,4,1
73,1,0,0,0
74,1,-1,2,4
75,1,0,0,0
76,1,0,0,0
77,1,0,0,0
78,0,0,0,0
79,0,0,0,0
80,1,-1,1,3
81,1,-1,2,4
82,0,0,0,0
83,1,0,1,3
84,1,0,0,0
85,1,-1,2,4
86,0,0,0,0
87,1,0,0,0
88,1,-1,1,3
89,1,0,0,0
90,0,0,4,1
91,1,0,0,0
92,1,0,4,1
93,1,0,4,1
94,1,0,0,0
95,1,0,4,1
96,1,-1,2,4
97,1,0,4,1
98,1,0,0,0
99,0,0,0,0
100,1,0,4,1
101,1,0,1,3
102,1,-1,2,4
103,0,0,0,0
104,1,0,0,0
105,1,0,4,1
106,1,0,0,0
107,1,0,4,1
108,1,-1,3,2
109,1,0,0,0
110,1,0,1,3
111,1,0,0,0
112,1,0,1,3
113,1,0,4,1
114,1,0,0,0
115,0,0,0,0
116,1,0,0,0
117,0,0,0,0
118,1,0,4,1
119,1,0,4,1
120,0,0,0,0
121,0,0,0,0
122,1,0,0,0
123,0,0,1,3
124,1,0,0,0
125,1,0,0,0
126,1,0,4,1
127,0,0,4,1
128,0,0,0,0
129,1,0,4,1
130,1,0,4,1
131,1,0,0,0
132,1,0,1,3
133,1,0,1,3
134,1,0,0,0
135,1,0,4,1
136,1,0,4,1
137,1,0,0,0
138,0,0,0,0
139,1,0,0,0
140,0,0,0,0
141,1,0,0,0
142,1,0,4,1
143,1,0,4,1
144,1,0,4,1
145,1,0,0,0
146,0,0,4,1
147,1,-1,2,4
148,1,0,0,0
149,1,0,1,3
150,1,0,4,1
151,1,0,1,3
152,1,0,0,0
153,1,-1,2,4
154,1,0,0,0
155,1,0,4,1
156,1,0,4,1
157,1,0,4,1
158,0,0,1,3
159,1,0,0,0
160,1,0,0,0
161,1,0,0,0
162,1,0,0,0
163,1,0,1,3
164,1,0,0,0
165,1,0,4,1
166,1,0,1,3
167,1,0,1,3
168,1,0,4,1
169,1,0,0,0
170,1,0,4,1
171,1,0,0,0
172,1,0,4,1
173,0,0,0,0
174,1,0,0,0
175,0,0,4,1
176,1,0,0,0
177,1,0,0,0
178,1,0,0,0
179,1,0,4,1
180,1,-1,1,3
181,1,0,4,1
182,1,-1,2,4
183,0,0,0,0
184,1,0,0,0
185,0,0,0,0
186,1,-1,2,4
187,0,0,1,3
188,1,0,4,1
189,1,0,0,0
190,1,0,4,1
191,0,0,0,0
192,1,0,4,1
193,1,0,1,3
194,1,0,1,3
195,0,0,0,0
196,1,0,0,0
197,1,0,4,1
198,1,0,4,1
199,0,0,0,0
200,1,0,0,0
201,1,0,1,3
202,1,0,4,1
203,1,0,4,1
204,1,0,1,3
205,1,0,1,3
206,1,0,0,0
207,0,0,0,0
208,0,0,0,0
209,1,0,4,1
210,1,-1,2,4
211,0,0,4,1
212,1,0,0,0
213,1,0,0,0
214,1,-1,2,4
215,1,0,0,0
216,0,0,0,0
217,1,0,4,0
218,1,0,0,0
219,0,0,1,3
220,1,1,1,3
221,1,-1,1,3
222,1,0,1,3
223,0,0,1,3
224,1,0,1,3
225,1,0,0,0
226,1,0,0,0
227,0,0,0,0
228,1,0,0,0
229,1,0,0,0
230,0,0,4,1
231,1,0,1,3
232,0,0,4,1
233,1,0,0,0
234,1,0,4,1
235,1,0,4,1
236,1,0,4,1
237,0,0,1,3
238,0,0,4,1
239,1,0,0,0
240,1,0,0,0
241,1,0,0,0
242,1,0,0,0
243,1,0,0,0
244,1,0,0,1
245,1,0,1,3
246,1,0,0,0
247,1,0,4,1
248,1,0,0,0
249,1,0,0,0
250,1,0,4,1
251,0,0,4,1
252,1,-1,1,3
253,1,0,4,1
254,1,0,0,0
255,1,0,1,3
256,1,0,1,3
257,1,0,4,1
258,0,0,1,3
259,1,-1,2,4
260,1,0,4,1
261,1,0,1,3
262,1,0,1,3
263,1,0,4,1
264,1,0,0,0
265,1,0,0,0
266,0,0,4,1
267,1,0,0,0
268,0,0,0,0
269,1,0,4,1
270,1,0,0,0
271,0,0,4,1
272,1,0,4,1
273,0,0,0,0
274,1,0,4,1
275,0,0,1,3
276,1,0,0,0
277,1,0,0,0
278,1,0,4,1
279,1,0,0,0
280,1,-1,2,4
281,1,0,4,1
282,1,0,0,0
283,1,0,1,3
284,1,-1,2,4
285,1,0,4,1
286,1,0,1,3
287,0,0,4,1
288,1,0,0,0
289,0,-1,3,2
290,0,0,0,0
291,1,0,0,0
292,0,0,0,0
293,1,0,0,0
294,1,0,4,1
295,1,0,0,0
296,1,0,4,1
297,1,0,4,1
298,0,0,1,3
299,1,0,4,1
300,1,-1,2,4
301,1,0,4,1
302,0,0,0,0
303,1,0,0,0
304,1,0,0,0
305,1,0,1,3
306,1,0,0,0
307,0,0,0,0
308,1,0,1,3
309,1,0,4,1
310,1,0,4,1
311,1,0,0,0
312,0,0,4,1
313,1,0,4,1
314,0,0,0,0
315,1,0,0,0
316,1,0,0,0
317,1,0,0,0
318,1,0,0,0
319,0,0,0,0
320,1,-1,2,4
321,1,0,0,0
322,0,0,4,1
323,1,0,1,3
324,1,0,1,3
325,0,0,0,0
326,0,0,0,0
327,1,-1,2,4
328,1,0,4,1
329,0,0,1,3
330,0,0,4,1
331,1,0,4,1
332,1,-1,1,3
333,1,0,0,0
334,1,0,4,1
335,1,0,4,1
336,1,0,0,0
337,0,0,0,0
338,1,0,4,1
339,1,0,0,0
340,1,0,0,0
341,1,0,4,1
342,1,-1,3,2
343,1,0,4,1
344,1,0,4,1
345,1,0,0,0
346,0,0,0,0
347,1,0,4,1
348,0,0,0,0
349,1,0,4,1
350,1,-1,2,4
351,0,0,0,0
352,1,0,4,1
353,1,0,0,0
354,0,0,4,1
355,1,0,4,1
356,1,0,1,3
357,1,0,0,0
358,1,-1,2,4
359,0,-1,2,4
360,1,0,4,1
361,1,0,4,1
362,0,0,0,0
363,1,0,0,0
364,1,0,4,1
365,1,0,4,1
366,1,0,0,0
367,1,0,0,0
368,0,0,0,0
369,0,0,4,1
370,1,-1,1,3
371,1,0,4,1
372,1,0,0,0
373,1,-1,2,4
374,1,0,0,0
375,1,0,0,0
376,1,0,4,1
377,1,0,4,1
378,0,0,4,1
379,1,0,4,1
380,0,0,0,0
381,1,0,1,3
382,0,0,0,0
383,1,0,4,1
384,1,0,1,3
385,1,-1,1,3
386,0,0,1,3
387,1,0,4,1
388,0,-1,2,4
389,1,0,0,0
390,0,-1,1,3
391,1,0,4,1
392,1,0,4,1
393,1,0,1,3
394,1,0,4,1
395,1,0,4,1
396,1,0,0,0
397,1,0,4,1
398,1,0,4,1
399,1,-1,2,4
400,1,0,0,0
401,0,0,0,0
402,1,0,0,0
403,0,0,4,1
404,1,-1,2,4
405,1,0,4,1
406,1,-1,2,4
407,1,0,1,3
408,1,0,4,1
409,0,0,0,0
410,1,0,0,0
411,1,0,0,0
412,0,0,4,1
413,1,-1,2,4
414,1,0,4,1
415,1,0,4,1
416,1,0,0,0
